time,Xrefc,Yrefc,Xrobotc,Yrobotc,ISExc,ISEyc
0,0,0,0.000185889,1.29E-05,0,0
0.1,0.003299398,4.12E-05,0.00184549,-2.44E-05,3.63E-07,2.75E-11
0.2,0.006595189,0.000164914,0.004482637,-4.82E-05,4.31E-07,3.73E-10
0.3,0.009883768,0.000370815,0.008634292,-0.000143233,7.61E-07,1.35E-09
0.4,0.013161542,0.000658626,0.011825823,0.000433544,1.13E-06,3.50E-09
0.5,0.016424933,0.001027897,0.014173556,0.00102648,1.54E-06,7.40E-09
0.6,0.019670381,0.001478051,0.016837691,0.000830243,1.98E-06,1.36E-08
0.7,0.022894351,0.002008384,0.021102685,0.001268943,2.42E-06,2.28E-08
0.8,0.026093339,0.002618067,0.023696461,0.002115749,2.87E-06,3.56E-08
0.9,0.029263873,0.003306145,0.026845627,0.002414059,3.31E-06,5.24E-08
1,0.032402519,0.004071543,0.030685067,0.003283863,3.75E-06,7.40E-08
1.1,0.03550589,0.004913061,0.033031774,0.004350596,4.18E-06,1.01E-07
1.2,0.038570642,0.005829382,0.036222131,0.004886685,4.60E-06,1.34E-07
1.3,0.041593488,0.00681907,0.039524144,0.006395766,5.00E-06,1.73E-07
1.4,0.044571195,0.007880571,0.043325432,0.007347984,5.40E-06,2.19E-07
1.5,0.047500594,0.009012222,0.046179011,0.008197069,5.78E-06,2.72E-07
1.6,0.050378579,0.010212244,0.047696874,0.009359073,6.14E-06,3.34E-07
1.7,0.053202116,0.011478751,0.051455177,0.010636337,6.50E-06,4.03E-07
1.8,0.055968243,0.012809752,0.05454511,0.011936313,6.83E-06,4.82E-07
1.9,0.058674078,0.014203152,0.056336703,0.013324603,7.16E-06,5.69E-07
2,0.061316819,0.015656754,0.059167944,0.014517263,7.47E-06,6.67E-07
2.1,0.063893753,0.017168267,0.061437607,0.015956698,7.76E-06,7.73E-07
2.2,0.066402251,0.018735303,0.06484023,0.017314089,8.04E-06,8.90E-07
2.3,0.068839783,0.020355386,0.067668148,0.018802037,8.30E-06,1.02E-06
2.4,0.07120391,0.02202595,0.069702373,0.020736434,8.55E-06,1.15E-06
2.5,0.073492295,0.02374435,0.071556522,0.022824235,8.79E-06,1.30E-06
2.6,0.075702704,0.025507856,0.07359117,0.023754736,9.01E-06,1.46E-06
2.7,0.077833009,0.027313668,0.075766905,0.025744924,9.21E-06,1.62E-06
2.8,0.079881188,0.02915891,0.078354386,0.02825546,9.40E-06,1.80E-06
2.9,0.081845333,0.03104064,0.079786116,0.029397054,9.58E-06,1.98E-06
3,0.083723648,0.032955853,0.081765751,0.031840832,9.75E-06,2.18E-06
3.1,0.085514454,0.034901484,0.084603364,0.033383292,9.90E-06,2.38E-06
3.2,0.08721619,0.036874414,0.085360163,0.035039691,1.00E-05,2.59E-06
3.3,0.088827416,0.038871473,0.088037698,0.037529406,1.02E-05,2.80E-06
3.4,0.090346812,0.040889445,0.089691502,0.039756055,1.03E-05,3.03E-06
3.5,0.091773186,0.042925074,0.090629453,0.041071275,1.04E-05,3.25E-06
3.6,0.093105467,0.044975067,0.091991659,0.043551107,1.05E-05,3.48E-06
3.7,0.094342714,0.047036099,0.092717265,0.045118694,1.06E-05,3.72E-06
3.8,0.095484112,0.049104816,0.094833133,0.047689334,1.07E-05,3.96E-06
3.9,0.096528978,0.051177845,0.095740505,0.049968169,1.07E-05,4.20E-06
4,0.097476755,0.053251794,0.096657214,0.052147565,1.08E-05,4.43E-06
4.1,0.098327018,0.055323257,0.098002878,0.053697757,1.08E-05,4.67E-06
4.2,0.099079475,0.057388822,0.098342081,0.055626792,1.09E-05,4.91E-06
4.3,0.099733962,0.059445073,0.098896631,0.058349447,1.09E-05,5.14E-06
4.4,0.100290449,0.061488597,0.099411251,0.060400124,1.10E-05,5.37E-06
4.5,0.100749035,0.063515987,0.100862912,0.062065449,1.10E-05,5.60E-06
4.6,0.10110995,0.065523848,0.100379525,0.064364744,1.10E-05,5.82E-06
4.7,0.101373557,0.067508801,0.1009892,0.06572706,1.10E-05,6.03E-06
4.8,0.101540347,0.069467489,0.101829895,0.067866852,1.10E-05,6.23E-06
4.9,0.101610939,0.071396581,0.102017217,0.070163698,1.10E-05,6.43E-06
5,0.101586082,0.073292777,0.100601508,0.071437094,1.10E-05,6.62E-06
5.1,0.10146665,0.075152813,0.101571336,0.073960595,1.10E-05,6.80E-06
5.2,0.101253644,0.076973466,0.100467785,0.075976701,1.10E-05,6.97E-06
5.3,0.100948188,0.078751555,0.101156426,0.077306026,1.10E-05,7.12E-06
5.4,0.100551529,0.080483952,0.099946929,0.079577832,1.10E-05,7.27E-06
5.5,0.100065033,0.082167582,0.100857385,0.080734503,1.10E-05,7.41E-06
5.6,0.099490186,0.083799427,0.099840077,0.08260278,1.10E-05,7.53E-06
5.7,0.098828587,0.085376535,0.098587093,0.084630275,1.10E-05,7.65E-06
5.8,0.098081953,0.086896018,0.098761591,0.08626264,1.11E-05,7.75E-06
5.9,0.097252109,0.088355061,0.097247983,0.087058178,1.11E-05,7.84E-06
6,0.096340989,0.089750924,0.096096454,0.088711763,1.11E-05,7.92E-06
6.1,0.095350634,0.091080946,0.096137294,0.090166964,1.11E-05,7.99E-06
6.2,0.094283185,0.09234255,0.094617693,0.091785264,1.11E-05,8.06E-06
6.3,0.093140885,0.093533244,0.093367083,0.092468664,1.11E-05,8.11E-06
6.4,0.091926072,0.094650628,0.092071241,0.094081498,1.12E-05,8.15E-06
6.5,0.090641177,0.095692396,0.091017743,0.094863322,1.12E-05,8.19E-06
6.6,0.089288722,0.096656339,0.089906302,0.095679632,1.13E-05,8.22E-06
6.7,0.08787131,0.097540349,0.088581209,0.096850514,1.13E-05,8.24E-06
6.8,0.086391632,0.098342421,0.086618159,0.098121955,1.14E-05,8.26E-06
6.9,0.084852452,0.099060656,0.086532979,0.098444232,1.15E-05,8.27E-06
7,0.083256611,0.099693267,0.083531171,0.099260076,1.16E-05,8.28E-06
7.1,0.081607018,0.100238575,0.082249904,0.099667317,1.17E-05,8.29E-06
7.2,0.079906648,0.100695019,0.08098113,0.10087882,1.18E-05,8.29E-06
7.3,0.078158539,0.101061154,0.07922378,0.101413621,1.19E-05,8.29E-06
7.4,0.076365784,0.101335652,0.077907243,0.10133466,1.21E-05,8.29E-06
7.5,0.074531531,0.101517309,0.075426442,0.10197345,1.22E-05,8.29E-06
7.6,0.072658972,0.101605042,0.074022547,0.101262067,1.24E-05,8.29E-06
7.7,0.070751347,0.101597891,0.072435889,0.101556269,1.25E-05,8.29E-06
7.8,0.068811932,0.101495026,0.069978331,0.101807195,1.27E-05,8.30E-06
7.9,0.066844038,0.10129574,0.067626796,0.101192856,1.29E-05,8.30E-06
8,0.064851006,0.100999457,0.066281271,0.101663829,1.31E-05,8.31E-06
8.1,0.062836199,0.100605729,0.064288946,0.101437994,1.33E-05,8.33E-06
8.2,0.060803004,0.100114239,0.061711471,0.100963533,1.35E-05,8.35E-06
8.3,0.058754819,0.0995248,0.060179445,0.100131052,1.37E-05,8.37E-06
8.4,0.056695055,0.098837357,0.058997553,0.099336432,1.40E-05,8.40E-06
8.5,0.054627125,0.098051983,0.056658545,0.098919306,1.42E-05,8.44E-06
8.6,0.052554446,0.097168887,0.054711931,0.097542822,1.44E-05,8.48E-06
8.7,0.050480427,0.096188406,0.051876758,0.097007035,1.47E-05,8.53E-06
8.8,0.04840847,0.095111009,0.04955029,0.095853675,1.49E-05,8.59E-06
8.9,0.046341962,0.093937294,0.047443235,0.094729703,1.51E-05,8.65E-06
9,0.04428427,0.092667991,0.046534048,0.093703578,1.54E-05,8.73E-06
9.1,0.042238737,0.091303955,0.044534564,0.091839264,1.56E-05,8.81E-06
9.2,0.04020868,0.089846173,0.041296336,0.090460554,1.59E-05,8.90E-06
9.3,0.038197379,0.088295756,0.039162408,0.089731053,1.61E-05,9.01E-06
9.4,0.036208078,0.086653939,0.0384857,0.087454065,1.63E-05,9.12E-06
9.5,0.034243978,0.084922082,0.035303732,0.085800001,1.65E-05,9.25E-06
9.6,0.03230823,0.083101667,0.03318811,0.083907038,1.68E-05,9.38E-06
9.7,0.030403938,0.081194295,0.031328602,0.082164731,1.70E-05,9.53E-06
9.8,0.028534147,0.079201684,0.030422901,0.080956356,1.72E-05,9.69E-06
9.9,0.02670184,0.077125668,0.028437607,0.07825342,1.74E-05,9.87E-06
10,0.024909938,0.074968194,0.026719484,0.076595608,1.76E-05,1.01E-05
10.1,0.023161291,0.072731318,0.025118122,0.074085404,1.77E-05,1.03E-05
10.2,0.021458678,0.070417207,0.02314756,0.07213543,1.79E-05,1.05E-05
10.3,0.019804799,0.068028129,0.02178988,0.069927023,1.81E-05,1.07E-05
10.4,0.018202274,0.065566455,0.019781111,0.066818972,1.82E-05,1.09E-05
10.5,0.016653638,0.063034655,0.018181527,0.065109347,1.84E-05,1.12E-05
10.6,0.015161338,0.060435293,0.015729299,0.062046162,1.85E-05,1.15E-05
10.7,0.01372773,0.057771026,0.015436106,0.059174289,1.86E-05,1.17E-05
10.8,0.012355075,0.055044598,0.01312783,0.05698412,1.87E-05,1.20E-05
10.9,0.011045534,0.052258839,0.012080018,0.053927908,1.88E-05,1.23E-05
11,0.009801168,0.049416657,0.011052274,0.051255492,1.89E-05,1.27E-05
11.1,0.008623934,0.04652104,0.010238674,0.04798307,1.90E-05,1.30E-05
11.2,0.007515681,0.043575046,0.008916459,0.045174355,1.91E-05,1.34E-05
11.3,0.00647815,0.040581801,0.00699437,0.042381432,1.91E-05,1.37E-05
11.4,0.005512968,0.037544499,0.00559798,0.039129846,1.92E-05,1.41E-05
11.5,0.004621648,0.03446639,0.004754636,0.036868943,1.92E-05,1.45E-05
11.6,0.003805587,0.031350781,0.00475869,0.033400008,1.92E-05,1.49E-05
11.7,0.003066064,0.028201031,0.004332542,0.030637447,1.93E-05,1.53E-05
11.8,0.002404235,0.025020543,0.002243468,0.026832176,1.93E-05,1.58E-05
11.9,0.001821137,0.021812764,0.0016647,0.024096689,1.93E-05,1.62E-05
12,0.001317681,0.018581178,0.001353833,0.020348008,1.93E-05,1.66E-05
12.1,0.000894656,0.0153293,0.001507899,0.017380938,1.94E-05,1.71E-05
12.2,0.000552721,0.012060674,0.000401662,0.014301292,1.94E-05,1.76E-05
12.3,0.000292412,0.008778866,-0.000117086,0.010574159,1.94E-05,1.80E-05
12.4,0.000114135,0.005487461,-7.61E-05,0.007534425,1.94E-05,1.85E-05
12.5,1.82E-05,0.002190054,0.000332979,0.004616743,1.94E-05,1.90E-05
12.6,4.67E-06,-0.001109747,-0.000207424,0.000622053,1.94E-05,1.95E-05
12.7,7.36E-05,-0.004408334,-0.000491446,-0.001917884,1.94E-05,2.00E-05
12.8,0.000224994,-0.007702101,0.000561716,-0.005813301,1.94E-05,2.04E-05
12.9,0.000458483,-0.010987447,0.000246016,-0.009026276,1.94E-05,2.09E-05
13,0.000773745,-0.014260783,0.000411581,-0.011758028,1.94E-05,2.14E-05
13.1,0.001170287,-0.017518535,0.001524711,-0.01552809,1.94E-05,2.19E-05
13.2,0.001647489,-0.020757154,0.000929314,-0.018739489,1.94E-05,2.23E-05
13.3,0.002204606,-0.023973113,0.001628691,-0.021624468,1.94E-05,2.28E-05
13.4,0.002840765,-0.027162917,0.002886599,-0.024786075,1.94E-05,2.32E-05
13.5,0.003554972,-0.030323108,0.003446407,-0.027752405,1.94E-05,2.37E-05
13.6,0.004346108,-0.033450268,0.003456214,-0.031842907,1.95E-05,2.41E-05
13.7,0.005212936,-0.036541021,0.004671356,-0.034265447,1.95E-05,2.46E-05
13.8,0.006154095,-0.039592045,0.005969544,-0.037205537,1.95E-05,2.50E-05
13.9,0.007168112,-0.042600069,0.007018128,-0.040460557,1.96E-05,2.54E-05
14,0.008253396,-0.045561881,0.007095324,-0.043743847,1.96E-05,2.58E-05
14.1,0.009408243,-0.048474333,0.007933458,-0.046376152,1.97E-05,2.61E-05
14.2,0.010630839,-0.051334342,0.009559205,-0.049352281,1.97E-05,2.65E-05
14.3,0.011919263,-0.054138899,0.010807506,-0.052527643,1.98E-05,2.68E-05
14.4,0.013271487,-0.056885068,0.013067036,-0.054691486,1.99E-05,2.72E-05
14.5,0.014685383,-0.059569994,0.013568559,-0.057366323,2.00E-05,2.75E-05
14.6,0.016158721,-0.062190903,0.015471132,-0.060663062,2.01E-05,2.78E-05
14.7,0.017689177,-0.064745111,0.017105597,-0.063361323,2.02E-05,2.81E-05
14.8,0.019274333,-0.067230021,0.017694642,-0.06573444,2.03E-05,2.83E-05
14.9,0.020911682,-0.069643134,0.019927388,-0.068259563,2.04E-05,2.86E-05
15,0.022598633,-0.071982046,0.021150649,-0.070229382,2.06E-05,2.89E-05
15.1,0.02433251,-0.074244452,0.023863858,-0.072912201,2.07E-05,2.91E-05
15.2,0.02611056,-0.076428155,0.025624878,-0.0749196,2.09E-05,2.93E-05
15.3,0.027929956,-0.078531061,0.02676112,-0.077337604,2.11E-05,2.95E-05
15.4,0.0297878,-0.080551188,0.02783098,-0.079347426,2.12E-05,2.97E-05
15.5,0.031681129,-0.082486663,0.029581848,-0.080895044,2.14E-05,2.99E-05
15.6,0.033606916,-0.084335731,0.032791988,-0.083368861,2.16E-05,3.00E-05
15.7,0.035562078,-0.086096752,0.033462969,-0.084822447,2.18E-05,3.02E-05
15.8,0.037543479,-0.087768205,0.036349142,-0.08670166,2.20E-05,3.03E-05
15.9,0.039547932,-0.08934869,0.038426387,-0.088548216,2.22E-05,3.04E-05
16,0.041572207,-0.09083693,0.039296831,-0.089721573,2.25E-05,3.05E-05
16.1,0.043613036,-0.092231774,0.042753379,-0.091290292,2.27E-05,3.06E-05
16.2,0.045667114,-0.093532194,0.044681492,-0.092983303,2.29E-05,3.07E-05
16.3,0.047731105,-0.094737293,0.046871659,-0.094119592,2.32E-05,3.08E-05
16.4,0.04980165,-0.095846298,0.048036502,-0.094898681,2.34E-05,3.09E-05
16.5,0.051875368,-0.096858568,0.050598784,-0.0964848,2.37E-05,3.10E-05
16.6,0.053948861,-0.097773593,0.052257708,-0.096592553,2.39E-05,3.10E-05
16.7,0.056018722,-0.098590991,0.054336938,-0.097907201,2.41E-05,3.11E-05
16.8,0.058081536,-0.099310513,0.056454565,-0.098677022,2.44E-05,3.11E-05
16.9,0.060133888,-0.09993204,0.058571535,-0.099571061,2.46E-05,3.12E-05
17,0.062172366,-0.100455586,0.060094406,-0.099852548,2.48E-05,3.12E-05
17.1,0.064193566,-0.100881293,0.062966575,-0.100053117,2.51E-05,3.12E-05
17.2,0.066194099,-0.101209438,0.06427552,-0.100597308,2.53E-05,3.12E-05
17.3,0.068170593,-0.101440424,0.066884355,-0.100730921,2.55E-05,3.12E-05
17.4,0.070119698,-0.101574788,0.06949766,-0.101544228,2.57E-05,3.12E-05
17.5,0.072038094,-0.101613191,0.071017205,-0.101002823,2.59E-05,3.13E-05
17.6,0.073922493,-0.101556425,0.072262599,-0.101494795,2.61E-05,3.13E-05
17.7,0.075769642,-0.101405407,0.074853852,-0.101241662,2.62E-05,3.13E-05
17.8,0.077576333,-0.101161179,0.076359357,-0.100857535,2.64E-05,3.13E-05
17.9,0.079339403,-0.100824907,0.07757178,-0.10128829,2.66E-05,3.13E-05
18,0.08105574,-0.100397878,0.080238681,-0.100524718,2.67E-05,3.13E-05
18.1,0.082722289,-0.099881498,0.081578715,-0.099538897,2.68E-05,3.13E-05
18.2,0.084336053,-0.099277293,0.083942105,-0.098946655,2.70E-05,3.13E-05
18.3,0.0858941,-0.0985869,0.085535539,-0.099096118,2.71E-05,3.13E-05
18.4,0.087393568,-0.097812074,0.086387388,-0.09832012,2.72E-05,3.13E-05
18.5,0.088831666,-0.096954676,0.088169634,-0.097281904,2.73E-05,3.13E-05
18.6,0.09020568,-0.096016677,0.089962208,-0.096158145,2.73E-05,3.13E-05
18.7,0.091512977,-0.095000151,0.091413786,-0.095863901,2.74E-05,3.13E-05
18.8,0.092751008,-0.093907275,0.091329883,-0.094706205,2.75E-05,3.14E-05
18.9,0.093917311,-0.092740324,0.093698543,-0.093521176,2.75E-05,3.14E-05
19,0.095009519,-0.091501667,0.094916021,-0.092005563,2.76E-05,3.14E-05
19.1,0.096025357,-0.090193767,0.096132298,-0.091081639,2.76E-05,3.15E-05
19.2,0.096962649,-0.088819172,0.096681346,-0.089686761,2.76E-05,3.15E-05
19.3,0.097819322,-0.087380517,0.09719719,-0.088001427,2.76E-05,3.16E-05
19.4,0.098593406,-0.085880516,0.098468411,-0.086306591,2.77E-05,3.17E-05
19.5,0.099283041,-0.084321961,0.098464372,-0.085079071,2.77E-05,3.18E-05
19.6,0.099886473,-0.082707715,0.099406306,-0.083389382,2.77E-05,3.18E-05
19.7,0.100402066,-0.081040711,0.100169799,-0.082429343,2.77E-05,3.20E-05
19.8,0.100828295,-0.079323945,0.100811751,-0.07997548,2.77E-05,3.21E-05
19.9,0.101163755,-0.077560474,0.100800119,-0.07884529,2.77E-05,3.22E-05
20,0.10140716,-0.07575341,0.101371253,-0.077400204,2.77E-05,3.23E-05
20.1,0.101557345,-0.073905915,0.101352161,-0.074835701,2.77E-05,3.25E-05
20.2,0.10161327,-0.072021201,0.101104756,-0.073240736,2.77E-05,3.27E-05
20.3,0.101574018,-0.070102517,0.102258255,-0.071394095,2.77E-05,3.28E-05
20.4,0.101438799,-0.068153154,0.10132636,-0.069207645,2.77E-05,3.30E-05
20.5,0.101206952,-0.066176432,0.101727613,-0.067447135,2.77E-05,3.32E-05
20.6,0.100877942,-0.064175701,0.101392601,-0.065370584,2.77E-05,3.34E-05
20.7,0.100451367,-0.062154332,0.101522252,-0.063120063,2.77E-05,3.36E-05
20.8,0.099926951,-0.060115715,0.100895156,-0.061450341,2.77E-05,3.38E-05
20.9,0.099304554,-0.058063256,0.100525049,-0.059294341,2.78E-05,3.40E-05
21,0.098584162,-0.056000364,0.098866629,-0.057318284,2.78E-05,3.43E-05
21.1,0.097765895,-0.053930456,0.098396037,-0.055353593,2.78E-05,3.45E-05
21.2,0.096850005,-0.051856946,0.097315797,-0.053528493,2.79E-05,3.47E-05
21.3,0.095836873,-0.049783242,0.096889794,-0.051091961,2.79E-05,3.50E-05
21.4,0.094727011,-0.04771274,0.095703333,-0.049701224,2.80E-05,3.52E-05
21.5,0.093521063,-0.045648822,0.093604963,-0.047370231,2.81E-05,3.55E-05
21.6,0.0922198,-0.043594847,0.092422223,-0.045642169,2.82E-05,3.57E-05
21.7,0.090824122,-0.041554151,0.091899402,-0.043093782,2.82E-05,3.60E-05
21.8,0.089335057,-0.039530037,0.090874154,-0.041475875,2.83E-05,3.62E-05
21.9,0.087753758,-0.037525774,0.088255898,-0.039312034,2.84E-05,3.64E-05
22,0.086081503,-0.035544593,0.087049201,-0.036619216,2.86E-05,3.67E-05
22.1,0.084319694,-0.033589678,0.084942951,-0.035005724,2.87E-05,3.69E-05
22.2,0.082469851,-0.031664166,0.084257459,-0.033313759,2.88E-05,3.71E-05
22.3,0.080533616,-0.029771139,0.082438029,-0.031168471,2.90E-05,3.73E-05
22.4,0.078512746,-0.027913623,0.079979007,-0.028983237,2.92E-05,3.75E-05
22.5,0.076409113,-0.026094582,0.077608312,-0.027599609,2.93E-05,3.77E-05
22.6,0.074224702,-0.024316912,0.075034421,-0.026152108,2.95E-05,3.79E-05
22.7,0.071961606,-0.02258344,0.074103045,-0.023626779,2.97E-05,3.81E-05
22.8,0.069622025,-0.020896918,0.070592466,-0.022653178,2.99E-05,3.82E-05
22.9,0.067208264,-0.019260021,0.069011155,-0.020476756,3.02E-05,3.84E-05
23,0.064722726,-0.017675339,0.066104441,-0.018881997,3.04E-05,3.85E-05
23.1,0.062167915,-0.01614538,0.06359129,-0.01753014,3.07E-05,3.87E-05
23.2,0.059546425,-0.01467256,0.061635014,-0.016079263,3.09E-05,3.88E-05
23.3,0.056860943,-0.013259203,0.058648015,-0.014531171,3.12E-05,3.89E-05
23.4,0.054114243,-0.011907536,0.056223401,-0.012444468,3.15E-05,3.90E-05
23.5,0.051309181,-0.010619688,0.053492128,-0.011215314,3.19E-05,3.91E-05
23.6,0.048448692,-0.009397685,0.050973188,-0.010698931,3.22E-05,3.92E-05
23.7,0.045535788,-0.008243448,0.047115707,-0.009005283,3.25E-05,3.93E-05
23.8,0.042573552,-0.00715879,0.044562863,-0.00761964,3.29E-05,3.93E-05
23.9,0.039565132,-0.006145413,0.041502161,-0.006669909,3.33E-05,3.94E-05
24,0.036513741,-0.005204907,0.038140955,-0.006143614,3.36E-05,3.94E-05
24.1,0.033422649,-0.004338747,0.035729269,-0.004622416,3.40E-05,3.95E-05
24.2,0.030295181,-0.003548288,0.032271687,-0.004468782,3.44E-05,3.95E-05
24.3,0.027134712,-0.00283477,0.029163277,-0.00325405,3.49E-05,3.96E-05
24.4,0.02394466,-0.002199309,0.026809731,-0.002173689,3.53E-05,3.96E-05
24.5,0.020728484,-0.001642898,0.023568177,-0.002454188,3.57E-05,3.96E-05
24.6,0.01748968,-0.001166409,0.020388035,-0.00191966,3.62E-05,3.96E-05
24.7,0.014231774,-0.000770586,0.016551622,-0.000954304,3.66E-05,3.96E-05
24.8,0.010958316,-0.000456048,0.012500948,-0.000528315,3.71E-05,3.96E-05
24.9,0.007672879,-0.000223287,0.009427767,-0.000781912,3.76E-05,3.96E-05
25,0.004379054,-7.27E-05,0.007315332,0.000283119,3.81E-05,3.96E-05
25.1,0.001080439,-4.42E-06,0.003199459,1.60E-05,3.85E-05,3.96E-05
25.2,-0.002219356,-1.87E-05,0.000102481,-0.000151532,3.90E-05,3.96E-05
25.3,-0.005516725,-0.000115357,-0.003108123,3.50E-05,3.95E-05,3.96E-05
