time,Xrefs,Yrefs,Xrobots,Yrobots,ISExs,ISEys
0,0,0,0.000185889,1.29E-05,0,0
0.1,0.0009375,0.0009375,0.000116942,0.000646459,2.93E-08,2.93E-08
0.2,0.001875,0.001875,0.000877351,0.001282053,3.48E-08,3.48E-08
0.3,0.0028125,0.0028125,0.002862755,0.001889142,6.16E-08,6.16E-08
0.4,0.00375,0.00375,0.003828409,0.003117217,9.18E-08,9.18E-08
0.5,0.0046875,0.0046875,0.003907556,0.004303804,1.26E-07,1.26E-07
0.6,0.005625,0.005625,0.004287639,0.004633665,1.62E-07,1.62E-07
0.7,0.0065625,0.0065625,0.006271484,0.005525149,1.99E-07,1.99E-07
0.8,0.0075,0.0075,0.006597242,0.006749253,2.38E-07,2.38E-07
0.9,0.0084375,0.0084375,0.007499135,0.007348515,2.76E-07,2.76E-07
1,0.009375,0.009375,0.009117801,0.008442986,3.15E-07,3.15E-07
1.1,0.0103125,0.0103125,0.009274945,0.009658723,3.54E-07,3.54E-07
1.2,0.01125,0.01125,0.010311086,0.01026912,3.93E-07,3.93E-07
1.3,0.0121875,0.0121875,0.011498022,0.011779026,4.33E-07,4.33E-07
1.4,0.013125,0.013125,0.013226945,0.012659973,4.72E-07,4.72E-07
1.5,0.0140625,0.0140625,0.014054291,0.013367228,5.11E-07,5.11E-07
1.6,0.015,0.015,0.013595363,0.014318495,5.50E-07,5.50E-07
1.7,0.0159375,0.0159375,0.015429528,0.015317886,5.90E-07,5.90E-07
1.8,0.016875,0.016875,0.016651096,0.016274719,6.29E-07,6.29E-07
1.9,0.0178125,0.0178125,0.01663313,0.017256564,6.69E-07,6.69E-07
2,0.01875,0.01875,0.017716556,0.01798154,7.08E-07,7.08E-07
2.1,0.0196875,0.0196875,0.018302998,0.018894203,7.48E-07,7.48E-07
2.2,0.020625,0.020625,0.020089743,0.019667975,7.88E-07,7.88E-07
2.3,0.0215625,0.0215625,0.021371771,0.020517784,8.27E-07,8.27E-07
2.4,0.0225,0.0225,0.02193264,0.021761933,8.67E-07,8.67E-07
2.5,0.0234375,0.0234375,0.0223884,0.02310987,9.07E-07,9.07E-07
2.6,0.024375,0.024375,0.023101945,0.023253464,9.47E-07,9.47E-07
2.7,0.0253125,0.0253125,0.024036069,0.024412351,9.87E-07,9.87E-07
2.8,0.02625,0.02625,0.025463517,0.026049919,1.03E-06,1.03E-06
2.9,0.0271875,0.0271875,0.025818758,0.026279671,1.07E-06,1.07E-06
3,0.028125,0.028125,0.02680729,0.027775601,1.11E-06,1.11E-06
3.1,0.0290625,0.0290625,0.028740905,0.028337138,1.15E-06,1.15E-06
3.2,0.03,0.03,0.028682397,0.028982534,1.19E-06,1.19E-06
3.3,0.0309375,0.0309375,0.030634781,0.030434218,1.23E-06,1.23E-06
3.4,0.031875,0.031875,0.031654921,0.031598919,1.27E-06,1.27E-06
3.5,0.0328125,0.0328125,0.032051899,0.031831434,1.31E-06,1.31E-06
3.6,0.03375,0.03375,0.032966891,0.033211011,1.35E-06,1.35E-06
3.7,0.0346875,0.0346875,0.033339984,0.033664046,1.39E-06,1.39E-06
3.8,0.035625,0.035625,0.035198844,0.035109126,1.43E-06,1.43E-06
3.9,0.0365625,0.0365625,0.035945389,0.036254718,1.48E-06,1.48E-06
4,0.0375,0.0375,0.036797994,0.037296544,1.52E-06,1.52E-06
4.1,0.0384375,0.0384375,0.038176684,0.037708216,1.56E-06,1.56E-06
4.2,0.039375,0.039375,0.03864632,0.038501182,1.60E-06,1.60E-06
4.3,0.0403125,0.0403125,0.039428856,0.040093635,1.64E-06,1.64E-06
4.4,0.04125,0.04125,0.040269026,0.041023404,1.68E-06,1.68E-06
4.5,0.0421875,0.0421875,0.042143682,0.041580548,1.73E-06,1.73E-06
4.6,0.043125,0.043125,0.042180486,0.042787821,1.77E-06,1.77E-06
4.7,0.0440625,0.0440625,0.043407174,0.043077705,1.81E-06,1.81E-06
4.8,0.045,0.045,0.044961196,0.044168079,1.85E-06,1.85E-06
4.9,0.0459375,0.0459375,0.045957531,0.045441928,1.90E-06,1.90E-06
5,0.046875,0.046875,0.045445764,0.045722141,1.94E-06,1.94E-06
5.1,0.0478125,0.0478125,0.047413588,0.047285639,1.98E-06,1.98E-06
5.2,0.04875,0.04875,0.047401091,0.048378264,2.02E-06,2.02E-06
5.3,0.0496875,0.0496875,0.04927273,0.048823936,2.07E-06,2.07E-06
5.4,0.050625,0.050625,0.049336949,0.050255186,2.11E-06,2.11E-06
5.5,0.0515625,0.0515625,0.0516105,0.050617622,2.15E-06,2.15E-06
5.6,0.0525,0.0525,0.052044219,0.051741164,2.20E-06,2.20E-06
5.7,0.0534375,0.0534375,0.052328643,0.053076543,2.24E-06,2.24E-06
5.8,0.054375,0.054375,0.054125276,0.054072475,2.29E-06,2.29E-06
5.9,0.0553125,0.0553125,0.054316777,0.054290257,2.33E-06,2.33E-06
6,0.05625,0.05625,0.054951486,0.05542769,2.37E-06,2.37E-06
6.1,0.0571875,0.0571875,0.056857749,0.056431188,2.42E-06,2.42E-06
6.2,0.058125,0.058125,0.057280729,0.057664997,2.46E-06,2.46E-06
6.3,0.0590625,0.0590625,0.058047742,0.058033793,2.51E-06,2.51E-06
6.4,0.06,0.06,0.058842365,0.059404492,2.55E-06,2.55E-06
6.5,0.0609375,0.0609375,0.059949889,0.060019127,2.60E-06,2.60E-06
6.6,0.061875,0.061875,0.061067671,0.060745571,2.65E-06,2.65E-06
6.7,0.0628125,0.0628125,0.06203756,0.061906175,2.69E-06,2.69E-06
6.8,0.06375,0.06375,0.062432741,0.063249077,2.74E-06,2.74E-06
6.9,0.0646875,0.0646875,0.064766454,0.063726586,2.78E-06,2.78E-06
7,0.065625,0.065625,0.064241544,0.064783344,2.83E-06,2.83E-06
7.1,0.0665625,0.0665625,0.065492456,0.065518965,2.88E-06,2.88E-06
7.2,0.0675,0.0675,0.066808348,0.067147975,2.92E-06,2.92E-06
7.3,0.0684375,0.0684375,0.067685296,0.068190934,2.97E-06,2.97E-06
7.4,0.069375,0.069375,0.06904977,0.068712181,3.02E-06,3.02E-06
7.5,0.0703125,0.0703125,0.069293717,0.070044491,3.06E-06,3.06E-06
7.6,0.07125,0.07125,0.070655273,0.070121068,3.11E-06,3.11E-06
7.7,0.0721875,0.0721875,0.071871684,0.071298665,3.16E-06,3.16E-06
7.8,0.073125,0.073125,0.072251678,0.072529278,3.21E-06,3.21E-06
7.9,0.0740625,0.0740625,0.072768998,0.072991638,3.26E-06,3.26E-06
8,0.075,0.075,0.07432041,0.074636911,3.31E-06,3.31E-06
8.1,0.073125,0.075,0.073239154,0.075189889,3.42E-06,3.32E-06
8.2,0.07125,0.075,0.071379829,0.075256622,3.42E-06,3.32E-06
8.3,0.069375,0.075,0.070231037,0.075109598,3.51E-06,3.32E-06
8.4,0.0675,0.075,0.069364459,0.075011056,3.61E-06,3.32E-06
8.5,0.065625,0.075,0.067293329,0.075351661,3.74E-06,3.32E-06
8.6,0.06375,0.075,0.065578064,0.074824106,3.88E-06,3.32E-06
8.7,0.061875,0.075,0.062961555,0.075222906,4.03E-06,3.33E-06
8.8,0.06,0.075,0.060844042,0.075096271,4.18E-06,3.33E-06
8.9,0.058125,0.075,0.058937251,0.075093477,4.34E-06,3.33E-06
9,0.05625,0.075,0.05821962,0.075282753,4.50E-06,3.33E-06
9.1,0.054375,0.075,0.05640095,0.07472813,4.67E-06,3.33E-06
9.2,0.0525,0.075,0.053330275,0.074752807,4.83E-06,3.33E-06
9.3,0.050625,0.075,0.051347804,0.07551945,4.99E-06,3.34E-06
9.4,0.04875,0.075,0.050803402,0.074830254,5.16E-06,3.34E-06
9.5,0.046875,0.075,0.047731458,0.074854335,5.33E-06,3.34E-06
9.6,0.045,0.075,0.045700421,0.074728423,5.49E-06,3.34E-06
9.7,0.043125,0.075,0.043896905,0.074840497,5.66E-06,3.34E-06
9.8,0.04125,0.075,0.043015477,0.075572137,5.83E-06,3.34E-06
9.9,0.039375,0.075,0.04101965,0.074893038,6.00E-06,3.34E-06
10,0.0375,0.075,0.039253147,0.075340962,6.17E-06,3.34E-06
10.1,0.035625,0.075,0.037562579,0.075016372,6.34E-06,3.34E-06
10.2,0.03375,0.075,0.035459068,0.075329764,6.51E-06,3.34E-06
10.3,0.031875,0.075,0.033921845,0.075460254,6.68E-06,3.34E-06
10.4,0.03,0.075,0.031684168,0.074764318,6.86E-06,3.34E-06
10.5,0.028125,0.075,0.029803617,0.075537623,7.03E-06,3.35E-06
10.6,0.02625,0.075,0.027015755,0.075025696,7.20E-06,3.35E-06
10.7,0.024375,0.075,0.026329747,0.074770839,7.38E-06,3.35E-06
10.8,0.0225,0.075,0.023569052,0.075260794,7.55E-06,3.35E-06
10.9,0.020625,0.075,0.022006898,0.074945092,7.72E-06,3.35E-06
11,0.01875,0.075,0.020400671,0.075070773,7.90E-06,3.35E-06
11.1,0.016875,0.075,0.018942345,0.074651171,8.07E-06,3.35E-06
11.2,0.015,0.075,0.016907167,0.074747065,8.25E-06,3.35E-06
11.3,0.013125,0.075,0.014202005,0.074907546,8.43E-06,3.35E-06
11.4,0.01125,0.075,0.011950679,0.0746551,8.60E-06,3.35E-06
11.5,0.009375,0.075,0.010178909,0.075435959,8.78E-06,3.35E-06
11.6,0.0075,0.075,0.009179545,0.075048238,8.95E-06,3.35E-06
11.7,0.005625,0.075,0.007673617,0.07540312,9.13E-06,3.35E-06
11.8,0.00375,0.075,0.004427163,0.074748246,9.31E-06,3.35E-06
11.9,0.001875,0.075,0.00261231,0.075192793,9.48E-06,3.35E-06
12,0,0.075,0.000985683,0.074650416,9.66E-06,3.35E-06
12.1,-0.001875,0.075,-0.000256521,0.074912516,9.84E-06,3.35E-06
12.2,-0.00375,0.075,-0.002840235,0.075081461,1.00E-05,3.35E-06
12.3,-0.005625,0.075,-0.004918231,0.074618864,1.02E-05,3.35E-06
12.4,-0.0075,0.075,-0.006518698,0.0748561,1.04E-05,3.35E-06
12.5,-0.009375,0.075,-0.007833539,0.075224288,1.05E-05,3.35E-06
12.6,-0.01125,0.075,-0.010180515,0.074520806,1.07E-05,3.35E-06
12.7,-0.013125,0.075,-0.012353778,0.075273838,1.09E-05,3.35E-06
12.8,-0.015,0.075,-0.013272416,0.074669558,1.11E-05,3.35E-06
12.9,-0.016875,0.075,-0.015642238,0.074742286,1.13E-05,3.35E-06
13,-0.01875,0.075,-0.01761275,0.075287196,1.14E-05,3.35E-06
13.1,-0.020625,0.075,-0.018717161,0.074781147,1.16E-05,3.35E-06
13.2,-0.0225,0.075,-0.021610948,0.07481751,1.18E-05,3.35E-06
13.3,-0.024375,0.075,-0.023290073,0.075160455,1.20E-05,3.35E-06
13.4,-0.02625,0.075,-0.024489923,0.075203358,1.21E-05,3.35E-06
13.5,-0.028125,0.075,-0.026466157,0.075414577,1.23E-05,3.35E-06
13.6,-0.03,0.075,-0.029069588,0.074471137,1.25E-05,3.35E-06
13.7,-0.031875,0.075,-0.030543683,0.07516169,1.27E-05,3.35E-06
13.8,-0.03375,0.075,-0.032009423,0.075297276,1.28E-05,3.35E-06
13.9,-0.035625,0.075,-0.033798045,0.075077118,1.30E-05,3.35E-06
14,-0.0375,0.075,-0.036629812,0.07478453,1.32E-05,3.35E-06
14.1,-0.039375,0.075,-0.038770779,0.075095481,1.34E-05,3.35E-06
14.2,-0.04125,0.075,-0.040192551,0.075011944,1.35E-05,3.35E-06
14.3,-0.043125,0.075,-0.042058368,0.074675361,1.37E-05,3.35E-06
14.4,-0.045,0.075,-0.042977643,0.075293413,1.39E-05,3.35E-06
14.5,-0.046875,0.075,-0.045717604,0.075340599,1.40E-05,3.35E-06
14.6,-0.04875,0.075,-0.047117097,0.074703109,1.42E-05,3.36E-06
14.7,-0.050625,0.075,-0.048843092,0.074598518,1.44E-05,3.36E-06
14.8,-0.0525,0.075,-0.051670629,0.074750781,1.46E-05,3.36E-06
14.9,-0.054375,0.075,-0.052908226,0.074680141,1.47E-05,3.36E-06
15,-0.05625,0.075,-0.055206628,0.075091409,1.49E-05,3.36E-06
15.1,-0.058125,0.075,-0.05606388,0.074713887,1.51E-05,3.36E-06
15.2,-0.06,0.075,-0.057919517,0.074933722,1.52E-05,3.36E-06
15.3,-0.061875,0.075,-0.060443453,0.074662725,1.54E-05,3.36E-06
15.4,-0.06375,0.075,-0.063074541,0.074717644,1.56E-05,3.37E-06
15.5,-0.065625,0.075,-0.065062573,0.075150578,1.57E-05,3.37E-06
15.6,-0.0675,0.075,-0.065626396,0.074571332,1.59E-05,3.37E-06
15.7,-0.069375,0.075,-0.06876149,0.074924664,1.60E-05,3.37E-06
15.8,-0.07125,0.075,-0.069710492,0.074763172,1.62E-05,3.37E-06
15.9,-0.073125,0.075,-0.071494454,0.074543728,1.64E-05,3.38E-06
16,-0.075,0.075,-0.074508125,0.074905587,1.65E-05,3.38E-06
16.1,-0.075,0.073125,-0.073703605,0.073526581,1.66E-05,3.47E-06
16.2,-0.075,0.07125,-0.07417023,0.071662521,1.66E-05,3.49E-06
16.3,-0.075,0.069375,-0.074226551,0.070104312,1.66E-05,3.59E-06
16.4,-0.075,0.0675,-0.075233083,0.068721942,1.66E-05,3.70E-06
16.5,-0.075,0.065625,-0.074799575,0.066388833,1.66E-05,3.84E-06
16.6,-0.075,0.06375,-0.075245543,0.065410755,1.66E-05,3.99E-06
16.7,-0.075,0.061875,-0.075255954,0.063113668,1.66E-05,4.14E-06
16.8,-0.075,0.06,-0.075215912,0.061255676,1.66E-05,4.30E-06
16.9,-0.075,0.058125,-0.07516481,0.059171239,1.66E-05,4.46E-06
17,-0.075,0.05625,-0.075694747,0.05759918,1.66E-05,4.62E-06
17.1,-0.075,0.054375,-0.07486005,0.05600916,1.66E-05,4.79E-06
17.2,-0.075,0.0525,-0.075570463,0.053977559,1.66E-05,4.95E-06
17.3,-0.075,0.050625,-0.074959807,0.052259348,1.66E-05,5.12E-06
17.4,-0.075,0.04875,-0.074320286,0.049764999,1.66E-05,5.28E-06
17.5,-0.075,0.046875,-0.074746843,0.048529701,1.66E-05,5.45E-06
17.6,-0.075,0.045,-0.075416548,0.046166222,1.66E-05,5.62E-06
17.7,-0.075,0.043125,-0.074706068,0.044453995,1.66E-05,5.79E-06
17.8,-0.075,0.04125,-0.075043698,0.042779965,1.66E-05,5.96E-06
17.9,-0.075,0.039375,-0.075633486,0.040199418,1.66E-05,6.13E-06
18,-0.075,0.0375,-0.074724622,0.038722831,1.66E-05,6.30E-06
18.1,-0.075,0.035625,-0.075095239,0.037379506,1.66E-05,6.47E-06
18.2,-0.075,0.03375,-0.074391953,0.035555095,1.66E-05,6.64E-06
18.3,-0.075,0.031875,-0.074404969,0.032903058,1.66E-05,6.82E-06
18.4,-0.075,0.03,-0.07510287,0.031092243,1.66E-05,6.99E-06
18.5,-0.075,0.028125,-0.074810694,0.029461189,1.66E-05,7.16E-06
18.6,-0.075,0.02625,-0.074445606,0.027835095,1.66E-05,7.34E-06
18.7,-0.075,0.024375,-0.074356104,0.025300869,1.66E-05,7.51E-06
18.8,-0.075,0.0225,-0.07573393,0.02355353,1.66E-05,7.69E-06
18.9,-0.075,0.020625,-0.074588391,0.021759098,1.66E-05,7.86E-06
19,-0.075,0.01875,-0.074520681,0.020223046,1.66E-05,8.04E-06
19.1,-0.075,0.016875,-0.074378368,0.018025403,1.66E-05,8.21E-06
19.2,-0.075,0.015,-0.074825137,0.016231192,1.66E-05,8.39E-06
19.3,-0.075,0.013125,-0.075224732,0.014662375,1.66E-05,8.56E-06
19.4,-0.075,0.01125,-0.07478646,0.013040528,1.66E-05,8.74E-06
19.5,-0.075,0.009375,-0.075538964,0.010891439,1.66E-05,8.92E-06
19.6,-0.075,0.0075,-0.075259142,0.009147268,1.66E-05,9.09E-06
19.7,-0.075,0.005625,-0.075069665,0.006618941,1.66E-05,9.27E-06
19.8,-0.075,0.00375,-0.07491202,0.005532744,1.66E-05,9.45E-06
19.9,-0.075,0.001875,-0.075316768,0.003074054,1.66E-05,9.62E-06
20,-0.075,0,-0.075046211,0.000884378,1.66E-05,9.80E-06
